Country,Name of Act or Policy,Year Enacted / Enforced,"Type of Standard (Ambient, Vehicle Emissions, etc.)",Pollutant,Averaging Period,Population,Standards,Unit,"Repercussions of Non-Compliance (Penalty, etc.)",Ministries/Sectors Responsible ,Comments/Remarks,Source / Link
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,CO,8-hour,General,9,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,CO,1-hour,General,35,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,Pb,Annual,General,0.5,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,NOx,Annual,General,0.053,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,TSP,8-hour,General,200,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM10,Annual,General,50,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM10,24-hour,General,150,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM2.5,Annual,General,15,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM2.5,24-hour,General,65,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,O3,1-hour,General,0.12,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,O3,8-hour,General,0.08,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,SO2,Annual,General,0.03,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,SO2,24-hour,General,0.14,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Cambodia,(MOE Mandate Approved),1997,,,,,,,,"MOE at national level (Office of Air Quality, Noise and Vibration Management under the Department of Pollution Control = main unit responsible); ""the related ministries are the Ministry of Agriculture, Forestry and Fisheries, Ministry of Public Works and Transport; Ministry of Planning; Ministry of  Water  Resources  and  Meteorology;  Cambodia  National  Mekong Committee; and the Council of Ministers.""",,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,CO,1-hour,General,40,µg/m3,,"MOE at national level (Office of Air Quality, Noise and Vibration Management under the Department of Pollution Control = main unit responsible); ""the related ministries are the Ministry of Agriculture, Forestry and Fisheries, Ministry of Public Works and Transport; Ministry of Planning; Ministry of  Water  Resources  and  Meteorology;  Cambodia  National  Mekong Committee; and the Council of Ministers.""",,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,CO,8-hour,General,20,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,NO2,1-hour,General,300,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,NO2,24-hour,General,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,SO2,1-hour,General,500,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,SO2,24-hour,General,300,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,O3,1-hour,General,200,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,TSP,24-hour,General,330,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,TSP,Annual,General,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,>5yo 2-stroke motorcycle,General,4.5,%,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,<5yo 2-stroke motorcycle,General,4,%,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,>5yo 4-stroke motorcycle,General,4.5,%,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,<5yo 4-stroke motorcycle,General,4,%,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,>5yo All kinds of vehicles,General,4.5,%,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,<5yo All kinds of vehicles,General,4,%,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,HC (hydrocarbon),>5yo 2-stroke motorcycle,General,10000,ppm,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,HC (hydrocarbon),<5yo 2-stroke motorcycle,General,3000,ppm,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,HC (hydrocarbon),>5yo 4-stroke motorcycle,General,10000,ppm,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,HC (hydrocarbon),<5yo 4-stroke motorcycle,General,2400,ppm,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,HC (hydrocarbon),>5yo All kinds of vehicles,General,10000,ppm,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,HC (hydrocarbon),<5yo All kinds of vehicles,General,800,ppm,,,Fuel: petrol,
India,APA,1981,,,,,,,,"MoEF  = nodal agency in the administrative structure of the Central Government responsible for air quality management; CPCB, SPCBs form regulatory and administrative core with MoEF",,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,(Constitution of Environmental Pollution (Prevention and Control) Authority for the NCR),1998,,,,,,,,EPCA,Given sweeping powers to ensure compliance,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,NO2,Annual,Industrial,80,µg/m3,,CPCB responsible for setting NAAQS,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,NO2,24-hour,Industrial,120,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,NO2,Annual,Residential,60,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,NO2,24-hour,Residential,80,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,NO2,Annual,Sensitive,15,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,NO2,24-hour,Sensitive,30,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SO2,Annual,Industrial,80,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SO2,24-hour,Industrial,120,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SO2,Annual,Residential,60,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SO2,24-hour,Residential,80,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SO2,Annual,Sensitive,15,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SO2,24-hour,Sensitive,30,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,CO,8-hour,Industrial,5000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,CO,1-hour,Industrial,10000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,CO,8-hour,Residential,2000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,CO,1-hour,Residential,4000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,CO,8-hour,Sensitive,1000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,CO,1-hour,Sensitive,2000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,Pb,Annual,Industrial,1,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,Pb,24-hour,Industrial,1.5,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,Pb,Annual,Residential,0.75,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,Pb,24-hour,Residential,1,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,Pb,Annual,Sensitive,0.5,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,Pb,24-hour,Sensitive,0.75,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,PM10,Annual,Industrial,120,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,PM10,24-hour,Industrial,150,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,PM10,Annual,Residential,60,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,PM10,24-hour,Residential,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,PM10,Annual,Sensitive,50,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,PM10,24-hour,Sensitive,75,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SPM,Annual,Industrial,360,µg/m3,,,Suspended particulate matter,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SPM,24-hour,Industrial,500,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SPM,Annual,Residential,140,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SPM,24-hour,Residential,200,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SPM,Annual,Sensitive,70,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,SPM,24-hour,Sensitive,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,NAAQSR,2004,Ambient,NH3,Annual,Residential,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/india_0.pdf
India,Bharat Stage-III ,2010,,,,,,,,,,
Indonesia,Government Act No. 23 on Environmental Management,1997,,,,,,,,"MOE, Ministry of Energy and Mineral Resources for fuel specifications, Ministry of Industry and Trade for vehicle models and tech req, Ministry of Communication for vehicle inspection and maintenance, etc. Other government offices exist at the local level.",Mandates MOE to regulate all aspects of pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,SPM,24-hour,Jakarta,230,µg/m3,,,Jakarta's own set of standards that are often more stringent than national standards,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,SPM,Annual,Jakarta,90,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,SPM,24-hour,National,230,µg/m3,,,Details of mandate to set up standards and acceptable practices for stationary and mobile sources,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,SPM,Annual,National,90,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,PM10,24-hour,Jakarta,150,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,PM10,24-hour,National,150,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,SO2,1-hour,Jakarta,900,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,SO2,1-hour,National,900,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,SO2,24-hour,Jakarta,260,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,SO2,24-hour,National,365,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,SO2,Annual,Jakarta,60,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,SO2,Annual,National,60,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,NO2,1-hour,Jakarta,400,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,NO2,1-hour,National,400,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,NO2,24-hour,Jakarta,92.5,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,NO2,24-hour,National,150,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,NO2,Annual,Jakarta,60,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,NO2,Annual,National,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,O3,1-hour,Jakarta,200,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,O3,1-hour,National,235,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,O3,Annual,Jakarta,30,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,O3,Annual,National,50,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,Pb,Annual,National,1,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,CO,1-hour,Jakarta,26000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,CO,1-hour,National,30000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Jakarta Governor's Decree No. 551,2001,Ambient,CO,24-hour,Jakarta,9000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Indonesia,Government Regulation No. 44 on Air Pollution Control,1999,Ambient,CO,24-hour,National,10000,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/indonesia_0.pdf
Malaysia,Environmental Quality Act,1974,,,,,,,,DOE (which is part of the Ministry of Natural Resources and the Environment),Basic framework for environmental management,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,National Policy on the Environment,2002,,,,,,,,DOE (which is part of the Ministry of Natural Resources and the Environment),"Aims: promote continued economic, social and cultural progress through environmental and sustainable development",http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,SO2,1-hour,General,0.13,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,SO2,24-hour,General,0.04,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,PM10,24-hour,General,150,µg/m3,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,PM10,Annual,General,50,µg/m3,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,TSP,24-hour,General,260,µg/m3,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,NO2,1-hour,General,0.17,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,NO2,Annual,General,0.04,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,CO,1-hour,General,30,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,CO,8-hour,General,9,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,O3,1-hour,General,0.1,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,O3,8-hour,General,0.06,ppm,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Malaysia,Recommended Malaysian Air Quality Guidelines,1989,Ambient,Pb,3-month,General,1.5,µg/m3,,DOE (which is part of the Ministry of Natural Resources and the Environment),,http://cleanairasia.org/wp-content/uploads/portal/files/documents/malaysia_0.pdf
Nepal,,2003,Ambient,TSP,24-hour,General,230,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,PM10,24-hour,General,120,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,SO2,Annual,General,50,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,SO2,24-hour,General,70,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,NO2,Annual,General,40,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,NO2,24-hour,General,80,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,CO,8-hour,General,10000,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,CO,15-minute,General,100000,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Nepal,,2003,Ambient,Pb,Annual,General,0.5,µg/m3,,MOPE,Standards set by MOPE,http://cleanairasia.org/wp-content/uploads/portal/files/documents/nepal_0.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,TSP,24-hour,General,230,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,TSP,Annual,General,90,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,PM10,1-hour,General,200,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,PM10,24-hour,General,150,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,PM10,Annual,General,60,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,SO2,1-hour,General,340,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,SO2,24-hour,General,180,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,SO2,Annual,General,80,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,NO2,1-hour,General,260,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,NO2,24-hour,General,150,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,O3,8-hour,General,60,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,O3,1-hour,General,140,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,CO,1-hour,General,35000,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
Philippines,Philippine CAA (RA 8749),1999,Ambient,CO,8-hour,General,10000,µg/m3,,DENR,Main legislation for air pollution control,http://cleanairasia.org/wp-content/uploads/portal/files/documents/philippines.pdf
